tool,purpose,cost,source code,user interface,usage,programming_languages,website,discipline_datasci_tools,people
ArcGIS,spatial data,pay,closed,graphical,visualisation,,https://www.arcgis.com/features/index.html,ENVI,Kate Giljohann
CARTO,spatial data,free with advanced pay options,open,graphical,visualisation,,https://carto.com/,,
cartopy,spatial data,free,open,command line,visualisation,Python,http://scitools.org.uk/cartopy/,,
Google Earth,spatial data,free,closed,graphical,visualisation,,,,
QGIS,spatial data,free,open,graphical,visualisation,,http://www.qgis.org/en/site/,,
SAGA,spatial data,free,open,graphical,visualisation,,http://www.saga-gis.org/en/index.html,,
TileMill,spatial data,free,open,graphical,visualisation,,https://tilemill-project.github.io/tilemill/,,
Latent GOLD,statistical modelling,pay,closed,graphical,analysis and visualisation,,http://www.statisticalinnovations.com/latent-gold-5-1/,,
Netica,statistical modelling,free,closed,graphical,analysis and visualisation,,https://www.norsys.com/,,
netlogo,statistical modelling,free,closed,graphical,analysis and visualisation,,https://ccl.northwestern.edu/netlogo/,,
Diogenes,qualitative data,free,open,graphical,analysis,,https://community.dur.ac.uk/p.j.heslin/Software/Diogenes/,,
Leximancer,qualitative data,pay,closed,graphical,analysis and visualisation,,https://info.leximancer.com/,,
NCO,file manipulation,free,closed,command line,analysis,Unix Shell,http://nco.sourceforge.net/,,
NVivo,qualitative data,pay,closed,graphical,analysis and visualisation,,http://www.qsrinternational.com/nvivo-product,,
PRIMER-E,statistics,pay,closed,graphical,analysis and visualisation,,http://www.primer-e.com/index.htm,,
SAS/STAT,statistics,pay,closed,graphical,analysis and visualisation,,https://www.sas.com/en_au/software/analytics/stat.html,,
SigmaStat,statistics,pay,closed,graphical,analysis and visualisation,,https://systatsoftware.com/products/sigmastat/,,
SPSS,statistics,pay,closed,graphical,analysis and visualisation,,,,
Stata,statistics,pay,closed,graphical,analysis and visualisation,,http://www.stata.com/,PanelWhiz,
Microsoft Access,databases,pay,closed,graphical,analysis,,,,
MySQL,databases,free,,command line,analysis,,,,
SQLite,databases,free,,command line,analysis,,,,
SciPy,statistics,free,open,command line,analysis,Python,https://www.scipy.org/scipylib/index.html,,
BoxPlotR,general,free,open,website,visualisation,R,http://shiny.chemgrid.org/boxplotr/,,
D3.js,general,free,open,command line,visualisation,Javascript,https://d3js.org/,,
dplyr,general,free,open,command line,analysis,R,http://dplyr.tidyverse.org/,,
Gephi,general,free,open,graphical,visualisation,,https://gephi.org/,,
ggplot,general,free,open,command line,visualisation,R,http://ggplot2.tidyverse.org/reference/,,
Gnumetric,general,free,open,graphical,analysis and visualisation,,http://www.gnumeric.org/,,
gnuplot,general,free,open,command line,visualisation,Unix Shell,http://www.gnuplot.info/,,
Google Sheets,spreadsheets,free,closed,graphical,analysis and visualisation,,,,
GraphPad Prism,general,pay,closed,graphical,analysis and visualisation,,https://www.graphpad.com/scientific-software/prism/,,Rita Busuttil
IDL,spatial data,pay,closed,command line,analysis and visualisation,,http://www.harrisgeospatial.co.uk/ProductsServices/IDL.aspx,,
Igor Pro,general,pay,closed,graphical and command line,analysis and visualisation,,https://www.wavemetrics.com/index.html,,
JMP,general,pay,closed,graphical,analysis and visualisation,,https://www.jmp.com/en_us/software/data-analysis-software.html,,
Mathmatica,general,pay,,graphical and command line,analysis and visualisation,,https://www.wolfram.com/mathematica/,morpho-tools.net,
matplotlib,general,free,open,command line,visualisation,Python,https://matplotlib.org/,,
Microsoft Excel,spreadsheets,pay,closed,graphical,analysis and visualisation,,,,"Kate Giljohann, Michael Strack"
Minitab,spreadsheets,pay,closed,graphical,analysis and visualisation,,http://www.minitab.com/en-us/,,
Mircosoft Visio,general,pay,closed,graphical,visualisation,,,,
Origin,general,pay,closed,graphical and command line,analysis and visualisation,,http://www.originlab.com/Origin,,
Plotly,general,free with advanced pay options,open,command line,visualisation,"Python, R, MATLAB, Javascript",https://plot.ly/,,
Shiny,general,free,open,command line,visualisation,R,https://shiny.rstudio.com/,,
SigmaPlot,general,pay,closed,graphical,visualisation,,https://systatsoftware.com/products/sigmaplot/,,
SM,general,pay,closed,command line,visualisation,,http://www.astro.princeton.edu/~rhl/sm/,,
Tableau,general,pay,closed,graphical,visualisation,,https://www.tableau.com/,,
xarray,general,free,open,command line,analysis and visualisation,Python,http://xarray.pydata.org/en/stable/,,
,,,,,,,,,
